form_code,document_title,form_kind,archive_path,archive_sha256,form_sha256,page_count,question_count,question_extraction_state,proposed_risk_band,proposed_risk_domain,form_source_refs,source_mapping_state,candidate_state,publication_state
"FSS-AGA-FORM-001","Application for the use of a military aerodrome for civil aviation purposes","ADMINISTRATIVE_FORM","FSS-AGA-FORM-001.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:30a22796e7d058bd5c7d35e9acb3be2b48eb2d42026ddfea416ab63bdfc1d43c","2","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_CONTROL_ASSURANCE","GOVERNANCE_AND_RECORDS","NAMCARs 139.01.39","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-002","Check-list for the assessment of an application for the use of a military aerodrome for civil aviation purposes","ADMINISTRATIVE_FORM","FSS-AGA-FORM-002.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:f1e2993dbdf3d28a0495f7aaff96cf1c7c218dfd898cca9a7c7273437996abe4","19","85","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_CONTROL_ASSURANCE","GOVERNANCE_AND_RECORDS","NAMCARs 139.10.2 | NAMCATS 139.10.2 | NAMCARs 139.09.9 | NAMCATS 139.09.9 | NAMCARs 139.10.4 | NAMCATS 139.10.4 | NAMCARs 139.10.8 | NAMCATS 139.10.8 | NAMCARs 139.10.5 | NAMCATS 139.10.5 | NAMCARs 139.10.6 | NAMCATS 139.10.6 | NAMCARs 139.10.10 | NAMCATS 139.10.10 | NAMCARs 139.10.13 | NAMCATS 139.10.13 | NAMCARs 139.10.14 | NAMCATS 139.10.14 | NAMCARs 139.11.4 | NAMCATS 139.11.4 | NAMCARs 139.12.2 | NAMCATS 139.12.2 | NAMCARs 139.12.3 | NAMCATS 139.12.3 | NAMCARs 139.12.4 | NAMCATS 139.12.4 | NAMCARs 139.12.6 | NAMCATS 139.12.6 | NAMCARs 139.12.7 | NAMCATS 139.12.7 | NAMCARs 139.12.8 | NAMCATS 139.12.8 | NAMCARs 139.13.3 | NAMCATS 139.13.3 | NAMCARs 139.14.2 | NAMCATS 139.14.2 | NAMCARs 139.16.6 | NAMCATS 139.16.6 | NAMCARs 139.16.7 | NAMCATS 139.16.7 | NAMCARs 139.16.11 | NAMCATS 139.16.11 | NAMCARs 139.16.2 | NAMCATS 139.16.2 | NAMCARs 139.16.3 | NAMCATS 139.16.3 | NAMCARs 139.16.4 | NAMCATS 139.16.4 | NAMCARs 139.08.15 | NAMCATS 139.08.15 | NAMCARs 139.16.5 | NAMCATS 139.16.5 | NAMCARs 139.09.2 | NAMCATS 139.09.2 | NAMCARs 139.09.7 | NAMCATS 139.09.7 | NAMCARs 139.09.10 | NAMCATS 139.09.10","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-003","Nomination of the Senior Accountable Manager","ADMINISTRATIVE_FORM","FSS-AGA-FORM-003.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:30a667660c38531ade2eb60192707574b3ae62f974e2fa3f23ce0e3f206ed4b0","5","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_REVIEW_REQUIRED","UNCLASSIFIED","NAMCARs 139.08.3","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-004","Proposal of a Person Responsible for Quality Assurance","ADMINISTRATIVE_FORM","FSS-AGA-FORM-004.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:2184859303462bd749a9e6aa7c13df177032af2fd040a2c81d64cfd29596155c","5","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.08.3","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-005","Appointment of the Aerodrome Manager","ADMINISTRATIVE_FORM","FSS-AGA-FORM-005.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:585e56d5168acf15725d3f69da4329bb725549b56c0a6942708ea82bee78ef8c","4","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_CONTROL_ASSURANCE","GOVERNANCE_AND_RECORDS","NAMCARs 139.08.3","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-006","Checklist for the initial assessment of the organizational capability of an applicant for an aerodrome certificate/license","CHECKLIST","FSS-AGA-FORM-006.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:a3557e68723ccdcbc27a8d15da03584a8b6f375e72e5854cda43ec341176b478","17","92","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.08.3 | NAMCARs 140.03.1 | NAMCARs 139.08.4 | NAMCARs 139.02.05 | NAMCATS 139.08.4 | NAMCARs 139.03.05 | NAMCARs 139.08.21 | NAMCARs 139.01.42 | NAMCATS 139.08.3 | NAMCARs 139.08.6 | NAMCATS 139.08.6","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-007","[RESTRICTED] Assessment of the proposed person to be responsible for quality assurance 1.0 Purpose The purpose of this form is to provide additional guidance in the evaluation of the competence of the person proposed by the applicant for an aerodrome or heliport license or license holder to be responsible for quality assurance. It is intended for inspectors, officers and persons authorized by the Director to carry out the duties and functions vested to the Director under Namibia Civil Aviation Regulations (NAMCARS) 139 on the licensing and operations of aerodromes and heliports. 2.0 References Chapter 21, Volume 6 of the NCAA Inspector handbook provides instructions to inspectors, officers and persons authorized by the Director in the assessment of the organizational capabilities of an applicant or a holder of an aerodrome or heliport license which includes the evaluation of the competence of the person proposed by the applicant for a license or the license holder to be responsible for the quality assurance. 3.0 Evaluation of the competence of the person proposed to be responsible for quality assurance The evaluation form is divided in three parts.","FORM","FSS-AGA-FORM-007.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:242000d2f5dede3a24bf03f3928a19441acced257c54fabd11cc58bb7669d17d","12","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.02.4","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-008","List of personnel employed/engaged or contracted for the operations and maintenance of an aerodrome","ADMINISTRATIVE_FORM","FSS-AGA-FORM-008.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:65761248a37ea23666a79e8c7e6fa130c0b6ad6c1cbdd14ccd7c9c9eaa88b6bc","5","0","NO_PROTOCOL_QUESTION_BOUNDARY_DETECTED","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.08.3","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-009","Check-list for the initial review of the aerodrome manual of an applicant for aerodrome certificate/license","FORM","FSS-AGA-FORM-009.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:98930f5baaed6c2d3284174069bfd7298b2374ea97ee3857d6a055d42d61078b","7","22","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.07.2 | NAMCATS 139.07.2 | NAMCARs 139.07.3 | NAMCATS 139.07.3","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
"FSS-AGA-FORM-010","Check-list for the in-depth analysis of the aerodrome manual of an applicant for aerodrome certificate/license","FORM","FSS-AGA-FORM-010.pdf","sha256:dd819cfa6a670760e0cfceed94496e2e466dc53bac13e6fd792b1128314d6e32","sha256:25b78e486eda8b8bdc0d93cee56bf0fe541fac875f96ae934fefcc3d7e2d8ccd","33","179","EXTRACTED_CANDIDATE_BOUNDARIES","PROPOSED_HIGH_OPERATIONAL","OPERATIONAL_ASSURANCE","NAMCARs 139.07.3 | NAMCATS 139.07.3 | NAMCARs 139.09.10 | NAMCATS 139.09.10 | NAMCARs 139.08.7 | NAMCATS 139.08.7 | NAMCATS 139.08.4","SOURCE_MAPPING_REQUIRED","NOT_IMPORTED","NOT_AUTHORIZED"
