source_ref,status,source_document_id,source_title,source_url,source_sha256,clause_locator,source_page,authority_state
"NAMCARs 139.0","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.0","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01.12","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01.12","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01.13","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01.13","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01.34","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01.34","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01.39","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01.39","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01.42","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01.42","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01.6","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01.6","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01.7","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01.7","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01.8","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01.8","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.01.9","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.01.9","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.02.05","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.02.05","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.02.16","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.02.16","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.02.2","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.02.2","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.02.3","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.02.3","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.02.4","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.02.4","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.02.8","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.02.8","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.03","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.03","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.03.05","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.03.05","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.03.10","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.03.10","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.03.15","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.03.15","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
"NAMCARs 139.03.16","PROPOSED_EXTERNAL_OFFICIAL_SOURCE","NCAA-NAMCAR-PART-139-2023","NAMCARs Part 139 (2023)","https://www.ncaa.com.na/publications/legislations/NAMCARS/NAMCARs%20Part%20139%20%282023%29.pdf","","139.03.16","","SOURCE_BYTES_NOT_LOCALLY_HASHED_SOURCE_OWNER_ATTESTATION_REQUIRED"
