relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	15	11005	299987	399835136
audit_events	7	0	100000	115646464
authorized_sync_changes	4	0	50000	42123264
outbox_messages	7	20001	30000	33554432
notification_delivery_jobs	8	0	20000	14426112
notification_records	5	50000	12000	13189120
object_metadata	5	24001	9000	11288576
communication_messages	4	0	8000	8208384
checklist_responses	4	4500	10000	6545408
communication_threads	2	8000	8000	4571136
evidence_versions	4	6001	6000	4366336
potential_findings	3	3001	4500	3678208
reminder_dispatches	3	0	5512	3088384
review_decisions	2	0	6000	2957312
cap_revisions	2	1	4500	2891776
findings	6	21001	3000	2301952
evidence_version_states	1	0	6000	1703936
document_render_jobs	3	1	2000	1589248
report_versions	3	4001	2000	1499136
document_records	2	4000	2000	1171456
