relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	16	22005	603561	798375936
audit_events	6	1	200000	231825408
authorized_sync_changes	3	1	100000	84238336
outbox_messages	7	40001	60000	67026944
notification_delivery_jobs	7	1	40000	28631040
notification_records	5	100000	24000	26173440
object_metadata	5	48001	18000	22528000
communication_messages	4	0	16000	15925248
checklist_responses	4	9000	20128	13025280
communication_threads	2	16000	16000	9060352
evidence_versions	4	12001	12000	8716288
potential_findings	3	6001	9000	7192576
reminder_dispatches	3	0	10000	6160384
cap_revisions	2	1	9000	5767168
review_decisions	2	0	12000	5767168
findings	6	42001	6000	4440064
evidence_version_states	1	0	12000	3350528
document_render_jobs	3	1	4000	3088384
report_versions	3	8001	4000	2842624
document_records	2	8000	4000	2252800
