relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	5	47	1285	1859584
audit_events	7	0	250	393216
outbox_messages	8	48	80	204800
authorized_sync_changes	4	0	120	180224
notification_records	5	136	24	114688
session_references	8	8	18	114688
notification_delivery_jobs	8	0	48	106496
user_lifecycle_requests	5	26	26	106496
desired_membership_versions	6	616	18	98304
object_metadata	6	64	24	90112
audit_assignments	4	6	2	81920
checklist_responses	4	12	24	81920
findings	7	56	8	81920
identity_action_facts	4	0	8	81920
applied_operations	2	55	43	65536
communication_messages	4	0	16	65536
document_render_jobs	4	0	6	65536
inspections	5	79	2	65536
offline_grants	4	0	4	65536
audit_question_assignments	3	0	3	49152
