relname	seq_scan	idx_scan	n_live_tup	total_bytes
scenario_records	18	44005	1195234	1566670848
audit_events	6	1	396227	464781312
authorized_sync_changes	3	1	200000	169385984
outbox_messages	7	80001	120000	134168576
notification_delivery_jobs	7	1	80000	56287232
notification_records	5	200000	48000	51691520
object_metadata	5	96001	36000	44974080
communication_messages	4	0	32000	31711232
checklist_responses	4	18000	40000	26386432
communication_threads	2	32000	32000	17997824
evidence_versions	4	24001	24000	17457152
potential_findings	3	12001	18000	14327808
reminder_dispatches	3	0	20000	12042240
cap_revisions	2	1	18000	11395072
review_decisions	2	0	24000	11370496
findings	6	84001	12000	8724480
evidence_version_states	1	0	24000	6684672
document_render_jobs	3	1	8000	5931008
report_versions	3	16001	8000	5701632
document_records	2	16000	8000	4399104
